start_idx,end_idx,start_month,dtw_to_mean,dtw_to_median,dtw_to_prev
272,283,2004-09-01,3.430789465072029,3.4884985296410025,0.7626680797034685
273,284,2004-10-01,3.418879665302235,3.4588739765295777,0.1718239331234525
274,285,2004-11-01,3.423516571152924,3.4597942563450763,1.0749324536756202
275,286,2004-12-01,3.4374857713772986,3.4625668519990143,0.8244493827234497
276,287,2005-01-01,3.45274493456681,3.469485180999452,0.6277748555995983
277,288,2005-02-01,3.485067109664914,3.4784988880985033,3.139951339276717
278,289,2005-03-01,3.479297327517281,3.4610647202744107,1.6761890558115344
279,290,2005-04-01,3.4659236978282277,3.4399385559322537,1.2941014285422168
280,291,2005-05-01,3.4657417701930897,3.442587558705716,1.0945279103188348
281,292,2005-06-01,3.468152695800899,3.4555835994561996,1.1218983952249488
282,293,2005-07-01,3.465240305255414,3.466488097523671,1.3799997372504167
283,294,2005-08-01,3.466570898108255,3.489853204709563,1.1367426684871627
284,295,2005-09-01,3.4392495109901344,3.4863829111059945,0.2340901734155376
285,296,2005-10-01,3.42422115626291,3.460961014643436,1.2192352837797706
286,297,2005-11-01,3.406687779214535,3.4569868842542872,0.8641919891786246
287,298,2005-12-01,3.423426589812691,3.4691211632273395,1.836830324767881
288,299,2006-01-01,3.458491927707456,3.4911348108999682,1.498459638366266
289,300,2006-02-01,3.4859434199582244,3.5064214152845756,1.6088383754475992
290,301,2006-03-01,3.478688796823491,3.4862362492636416,1.8487618141709001
291,302,2006-04-01,3.454052872903797,3.4471368877948327,1.1477750000601596
292,303,2006-05-01,3.4516731976887143,3.43067804248512,1.1898357524578
293,304,2006-06-01,3.4445900062794026,3.4193330591024447,0.591922175888365
294,305,2006-07-01,3.4601413748552505,3.4403944005915705,0.8718170627262668
295,306,2006-08-01,3.4763569320648005,3.471886737518446,1.0207285375532902
296,307,2006-09-01,3.458013021458871,3.512303878908818,0.4819633468189643
297,308,2006-10-01,3.4390628742603386,3.478607033809391,0.5780593977199495
298,309,2006-11-01,3.4339299818642135,3.465325209911802,1.6511164223177415
299,310,2006-12-01,3.443745452581779,3.4741068831850863,1.8480256502149888
300,311,2007-01-01,3.4605578017800345,3.4875268127734205,0.7437914593246371
301,312,2007-02-01,3.4695894195298855,3.477148000430952,1.3428733330675937
302,313,2007-03-01,3.464728008209684,3.4627730849875324,0.5513402108191587
303,314,2007-04-01,3.4808483935565637,3.459739313690068,1.0902373706483497
304,315,2007-05-01,3.4659029031066653,3.440474313431724,2.339077708057475
305,316,2007-06-01,3.4504001584166946,3.4345705054922373,0.8503948240175007
306,317,2007-07-01,3.4498103663374815,3.433963543931219,1.1746786121094899
307,318,2007-08-01,3.462297891080939,3.43680619315265,0.5598048951827239
308,319,2007-09-01,3.4573389801063783,3.489884309658845,0.5487613128758365
309,320,2007-10-01,3.4335947269582565,3.497487636266542,0.42409403943845675
310,321,2007-11-01,3.4173875617378426,3.468451562676975,1.223369693690102
311,322,2007-12-01,3.424277480972015,3.4608832782224583,0.9126475810428987
312,323,2008-01-01,3.4436211943127124,3.460903871184669,0.8613021132192119
313,324,2008-02-01,3.453000015036577,3.462736129520897,0.2144910016209399
314,325,2008-03-01,3.4558110708819796,3.45178985077487,0.876568039858659
315,326,2008-04-01,3.4790647359101623,3.4493328697314745,2.6608243031634795
316,327,2008-05-01,3.4677776538300225,3.448558352173631,2.4619117456564727
317,328,2008-06-01,3.4439418190869624,3.432463626258762,1.060871909564352
318,329,2008-07-01,3.425303291241681,3.424798829726086,0.9983903609830203
319,330,2008-08-01,3.4215170676852478,3.438266275259323,1.4067137052150946
320,331,2008-09-01,3.433550142754415,3.4666708549895042,0.4862159171804166
321,332,2008-10-01,3.468419658574368,3.5432843590905607,0.3196916032613755
322,333,2008-11-01,3.461537165793107,3.5104257192522965,0.5673928760573773
323,334,2008-12-01,3.4597454689314,3.5033986987494234,1.4435515809340829
324,335,2009-01-01,3.4588616875789393,3.4965888950046855,0.2986080744659939
325,336,2009-02-01,3.4564722254721363,3.472326804836689,0.7718482012426967
326,337,2009-03-01,3.4427816326051826,3.4379033291994943,2.0667828818600427
327,338,2009-04-01,3.4520718301224003,3.431130361983393,2.0170191981687466
328,339,2009-05-01,3.453768739809798,3.434313981229056,0.3114209004823199
329,340,2009-06-01,3.446384624823783,3.442562787867977,0.9851552525751269
330,341,2009-07-01,3.433167323134067,3.4321348196775245,1.7058855510875326
331,342,2009-08-01,3.444717142346815,3.4524296445987086,0.9215389845455322
332,343,2009-09-01,3.462028396851853,3.4785416725504326,0.41397114445770067
333,344,2009-10-01,3.4398440320782924,3.477571149019709,0.26483287706684394
334,345,2009-11-01,3.4328525476650835,3.450904438171411,1.6592902654358428
335,346,2009-12-01,3.4474060570101055,3.4561439957419076,1.5145622456136731
336,347,2010-01-01,3.468885855908305,3.4693983934524786,1.1238972853618228
337,348,2010-02-01,3.4893112973955445,3.4847630938066385,2.124595203860341
338,349,2010-03-01,3.4844653048928502,3.471611274089433,1.4840925116175154
339,350,2010-04-01,3.4818414039682795,3.461011378897852,0.5528597924811667
340,351,2010-05-01,3.472931977995558,3.446334990620296,1.5022130890655983
341,352,2010-06-01,3.4486271952344603,3.4318958223659837,1.5478974998386381
342,353,2010-07-01,3.4351083174664843,3.423476247103326,0.9793424478789748
343,354,2010-08-01,3.450094081743099,3.4263012772947787,0.5368408993682379
344,355,2010-09-01,3.4746176483723588,3.4570759233978285,1.1367074425944879
345,356,2010-10-01,3.4476603279128692,3.498952587452672,0.4736246771332133
346,357,2010-11-01,3.4589309928202194,3.488122480317421,1.3679329835404637
